row,col,offset_x_m,offset_y_m,lat,lng
-9,-3,-151.55444566227678,-472.5,37.49708029931973,127.037856923771
-9,-2,-90.93266739736606,-472.5,37.49708029931973,127.0385433542626
-9,-1,-30.31088913245535,-472.5,37.49708029931973,127.0392297847542
-9,0,30.31088913245535,-472.5,37.49708029931973,127.03991621524581
-9,1,90.93266739736606,-472.5,37.49708029931973,127.04060264573741
-9,2,151.55444566227675,-472.5,37.49708029931973,127.041289076229
-8,-4,-242.4871130596428,-420.0,37.497552710506426,127.03682727803361
-8,-3,-181.86533479473212,-420.0,37.497552710506426,127.03751370852521
-8,-2,-121.2435565298214,-420.0,37.497552710506426,127.03820013901681
-8,-1,-60.6217782649107,-420.0,37.497552710506426,127.0388865695084
-8,0,0.0,-420.0,37.497552710506426,127.039573
-8,1,60.6217782649107,-420.0,37.497552710506426,127.0402594304916
-8,2,121.2435565298214,-420.0,37.497552710506426,127.0409458609832
-8,3,181.86533479473212,-420.0,37.497552710506426,127.0416322914748
-8,4,242.4871130596428,-420.0,37.497552710506426,127.0423187219664
-7,-6,-333.41978045700887,-367.5,37.49802512169312,127.03579763229621
-7,-5,-272.7980021920981,-367.5,37.49802512169312,127.0364840627878
-7,-4,-212.17622392718746,-367.5,37.49802512169312,127.0371704932794
-7,-3,-151.55444566227678,-367.5,37.49802512169312,127.037856923771
-7,-2,-90.93266739736606,-367.5,37.49802512169312,127.0385433542626
-7,-1,-30.31088913245535,-367.5,37.49802512169312,127.0392297847542
-7,0,30.31088913245535,-367.5,37.49802512169312,127.03991621524581
-7,1,90.93266739736606,-367.5,37.49802512169312,127.04060264573741
-7,2,151.55444566227675,-367.5,37.49802512169312,127.041289076229
-7,3,212.17622392718746,-367.5,37.49802512169312,127.0419755067206
-7,4,272.7980021920982,-367.5,37.49802512169312,127.0426619372122
-7,5,333.41978045700887,-367.5,37.49802512169312,127.0433483677038
-6,-6,-363.73066958946424,-315.0,37.49849753287982,127.03545441705042
-6,-5,-303.1088913245535,-315.0,37.49849753287982,127.03614084754201
-6,-4,-242.4871130596428,-315.0,37.49849753287982,127.03682727803361
-6,-3,-181.86533479473212,-315.0,37.49849753287982,127.03751370852521
-6,-2,-121.2435565298214,-315.0,37.49849753287982,127.03820013901681
-6,-1,-60.6217782649107,-315.0,37.49849753287982,127.0388865695084
-6,0,0.0,-315.0,37.49849753287982,127.039573
-6,1,60.6217782649107,-315.0,37.49849753287982,127.0402594304916
-6,2,121.2435565298214,-315.0,37.49849753287982,127.0409458609832
-6,3,181.86533479473212,-315.0,37.49849753287982,127.0416322914748
-6,4,242.4871130596428,-315.0,37.49849753287982,127.0423187219664
-6,5,303.1088913245535,-315.0,37.49849753287982,127.043005152458
-6,6,363.73066958946424,-315.0,37.49849753287982,127.04369158294959
-5,-7,-394.04155872191956,-262.5,37.498969944066516,127.03511120180461
-5,-6,-333.41978045700887,-262.5,37.498969944066516,127.03579763229621
-5,-5,-272.7980021920981,-262.5,37.498969944066516,127.0364840627878
-5,-4,-212.17622392718746,-262.5,37.498969944066516,127.0371704932794
-5,-3,-151.55444566227678,-262.5,37.498969944066516,127.037856923771
-5,-2,-90.93266739736606,-262.5,37.498969944066516,127.0385433542626
-5,-1,-30.31088913245535,-262.5,37.498969944066516,127.0392297847542
-5,0,30.31088913245535,-262.5,37.498969944066516,127.03991621524581
-5,1,90.93266739736606,-262.5,37.498969944066516,127.04060264573741
-5,2,151.55444566227675,-262.5,37.498969944066516,127.041289076229
-5,3,212.17622392718746,-262.5,37.498969944066516,127.0419755067206
-5,4,272.7980021920982,-262.5,37.498969944066516,127.0426619372122
-5,5,333.41978045700887,-262.5,37.498969944066516,127.0433483677038
-5,6,394.0415587219196,-262.5,37.498969944066516,127.0440347981954
-4,-7,-424.35244785437493,-210.0,37.49944235525321,127.03476798655882
-4,-6,-363.73066958946424,-210.0,37.49944235525321,127.03545441705042
-4,-5,-303.1088913245535,-210.0,37.49944235525321,127.03614084754201
-4,-4,-242.4871130596428,-210.0,37.49944235525321,127.03682727803361
-4,-3,-181.86533479473212,-210.0,37.49944235525321,127.03751370852521
-4,-2,-121.2435565298214,-210.0,37.49944235525321,127.03820013901681
-4,-1,-60.6217782649107,-210.0,37.49944235525321,127.0388865695084
-4,0,0.0,-210.0,37.49944235525321,127.039573
-4,1,60.6217782649107,-210.0,37.49944235525321,127.0402594304916
-4,2,121.2435565298214,-210.0,37.49944235525321,127.0409458609832
-4,3,181.86533479473212,-210.0,37.49944235525321,127.0416322914748
-4,4,242.4871130596428,-210.0,37.49944235525321,127.0423187219664
-4,5,303.1088913245535,-210.0,37.49944235525321,127.043005152458
-4,6,363.73066958946424,-210.0,37.49944235525321,127.04369158294959
-4,7,424.35244785437493,-210.0,37.49944235525321,127.04437801344119
-3,-8,-454.66333698683025,-157.5,37.49991476643991,127.03442477131301
-3,-7,-394.04155872191956,-157.5,37.49991476643991,127.03511120180461
-3,-6,-333.41978045700887,-157.5,37.49991476643991,127.03579763229621
-3,-5,-272.7980021920981,-157.5,37.49991476643991,127.0364840627878
-3,-4,-212.17622392718746,-157.5,37.49991476643991,127.0371704932794
-3,-3,-151.55444566227678,-157.5,37.49991476643991,127.037856923771
-3,-2,-90.93266739736606,-157.5,37.49991476643991,127.0385433542626
-3,-1,-30.31088913245535,-157.5,37.49991476643991,127.0392297847542
-3,0,30.31088913245535,-157.5,37.49991476643991,127.03991621524581
-3,1,90.93266739736606,-157.5,37.49991476643991,127.04060264573741
-3,2,151.55444566227675,-157.5,37.49991476643991,127.041289076229
